Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3
reali,El perro que temían las palomas mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OVS,5,5,4-6,6,7
reali,El perro que las palomas temí­an mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OSV,5,5,4-6,6,7
reali,El perro que nosotros temíamos mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OSV,5,5,4-5,5,6
reali,El perro que temíamos nosotros mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OVS,5,5,4-5,5,6
reali,El detective que contactaron los abogados dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OVS,6,6,4-6,6,7
reali,El detective que los abogados contactaron dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OSV,6,6,4-6,6,7
reali,El detective que nosotros contactamos dijo la verdad,,proNP_OSV,6,6,4-5,5,6
reali,El detective que contactamos nosotros dijo la verdad,,proNP_OVS,6,6,4-5,5,6
reali,El funcionario que ayudaron las recepcionistas admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OVS,7,7,4-6,6,7
reali,El funcionario que las recepcionistas ayudaron admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OSV,7,7,4-6,6,7
reali,El funcionario que nosotros ayudamos admiraba mucho a su jefe,,proNP_OSV,7,7,4-5,5,6
reali,El funcionario que ayudamos nosotros admiraba mucho a su jefe,,proNP_OVS,7,7,4-5,5,6
reali,El niño que encontraron los policí­as escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OVS,8,8,4-6,6,7
reali,El niño que los policí­as encontraron escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OSV,8,8,4-6,6,7
reali,El niño que nosotros encontramos escondió la evidencia,,proNP_OSV,8,8,4-5,5,6
reali,El niño que encontramos nosotros escondió la evidencia,,proNP_OVS,8,8,4-5,5,6
reali,El caballero que mencionaron los celadores olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OVS,9,9,4-6,6,7
reali,El caballero que los celadores mencionaron olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OSV,9,9,4-6,6,7
reali,El caballero que nosotros mencionamos se olvidó de traer sus llaves,,proNP_OSV,9,9,4-5,5,6
reali,El caballero que mencionamos nosotros se olvidó de traer sus llaves,,proNP_OVS,9,9,4-5,5,6
reali,El mesero que ofendieron los comensales detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OVS,10,10,4-6,6,7
reali,El mesero que los comensales ofendieron detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OSV,10,10,4-6,6,7
reali,El mesero que nosotros ofendimos detestaba al chef del restaurante,,proNP_OSV,10,10,4-5,5,6
reali,El mesero que ofendimos nosotros detestaba al chef del restaurante,,proNP_OVS,10,10,4-5,5,6
reali,El enfermero que buscaban los médicos trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OVS,11,11,4-6,6,7
reali,El enfermero que los médicos buscaban trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OSV,11,11,4-6,6,7
reali,El enfermero que nosotros buscábamos trataba muy bien a los pacientes,,proNP_OSV,11,11,4-5,5,6
reali,El enfermero que buscábamos nosotros trataba muy bien a los pacientes,,proNP_OVS,11,11,4-5,5,6
reali,El ratón que atraparon los gatos era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OVS,12,12,4-6,6,7
reali,El ratón que los gatos atraparon era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OSV,12,12,4-6,6,7
reali,El ratón que nosotros atrapamos era astuto y veloz,,proNP_OSV,12,12,4-5,5,6
reali,El ratón que atrapamos nosotros era astuto y veloz,,proNP_OVS,12,12,4-5,5,6
